"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-01",,"26.4",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-02",,"26.6",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-03",,"24.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-04",,"24.6",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-05",,"26.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-06",,"26.5",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-07",,"27.6",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-08",,"27.4",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-09",,"26.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-10",,"28.5",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-11",,"26.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-12",,"30.0",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-13",,"29.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-14",,"29.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-15",,"29.6",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-16",,"27.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-17",,"27.6",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-18",,"24.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-19",,"27.1",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-20",,"28.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-21",,"28.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-22",,"27.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-23",,"27.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-24",,"27.6",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-25",,"25.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-26",,"25.5",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-27",,"24.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-28",,"29.9","35.5",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-29",,"28.3",,"20.3"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-30",,"28.9","36.4","20.6"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-01-31",,"29.6","36.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-01",,"27.7","37.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-02",,"27.4",,"19.2"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-03",,"27.2",,"21.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-04",,"28.6","35.1","22.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-05",,"29.5","35.2","24.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-06",,"28.9","36.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-07",,"27.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-08",,"28.2","36.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-09",,"28.0","35.5",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-10",,"28.8","36.1","24.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-11","0.0","27.2","36.4","21.7"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-12",,"27.9","36.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-13",,"30.0","37.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-14",,"30.2","37.4","21.5"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-15",,"29.6","36.0","22.9"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-16",,"30.2","36.0","23.9"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-17",,"30.6","36.3","25.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-18",,"29.4","35.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-19",,"28.8","36.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-20",,"30.7","38.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-21",,"30.9","37.8","24.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-22",,"31.1","37.8",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-23",,"31.1","38.2","25.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-24",,"31.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-25",,"28.9","37.3",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-26",,"31.4",,"23.5"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-27",,"29.1","37.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-28",,"30.9","36.8",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-02-29",,"29.6","37.5",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-01",,"28.8","37.5","24.6"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-02",,"29.1",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-03",,"29.6","36.6","24.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-04",,"29.5",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-05",,"29.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-06",,"29.0","35.6",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-07",,"27.6","35.8",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-08",,"29.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-09",,"27.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-10",,"30.3",,"23.9"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-11",,"27.8","32.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-12",,"29.3","34.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-13",,"28.4",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-14",,"30.5","35.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-15",,"30.1",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-16",,"30.4",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-17",,"30.9",,"26.5"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-18",,"30.8",,"26.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-19",,"30.1","36.2","26.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-20",,"29.2","33.3",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-21",,"28.4",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-22",,"28.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-23",,"28.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-24",,"26.1","31.0","23.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-25",,"26.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-26",,"27.0",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-27",,"31.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-28",,"30.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-03-29",,"29.5","35.0","26.0"
